text,label
"Date: Wed  21 Aug 2002 20:31:57 -1600 MIME-Version: 1.0 Message-ID:  Content-Type: text/html; charset=""iso-8859-1"" Content-Transfer-Encoding: quoted-printable                                                   Save up to 70% on Life Insurance. Why Spend More Than You Have To?  Life Quote Savings                     Ensurin= g your        family's financial security is very important. Life Quote Savings ma= kes        buying life insurance simple and affordable. We Provide FREE Access = to The        Very Best Companies and The Lowest Rates.                                            Life Quote Savings is FAST  EAS= Y and              SAVES you money! Let us help you get started with the best val= ues in              the country on new coverage. You can SAVE hundreds or even tho= usands              of dollars by requesting a FREE quote from Lifequote Savings. = Our              service will take you less than 5 minutes to complete. Shop an= d              compare. SAVE up to 70% on all types of Life insurance!                                   Click Here For Your=               Free Quote!                      Protecting your family is the best investment you'll eve= r            make!                                                                   If you are in receipt of this=  email        in error and/or wish to be removed from our list  PLEASE CLICK HERE AND TYPE = REMOVE. If you        reside in any state which prohibits e-mail solicitations for insuran= ce         please disregard this        email.",1
"Date: Thu  22 Aug 2002 06:18:18 -0600 Message-Id:  MIME-Version: 1.0 Content-Type: text/plain; charset=""iso-8859-1"" Content-Transfer-Encoding: 7bit X-Mailer: Microsoft CDO for Windows 2000 Thread-Index: AcJJ1f+3FWdz11AmR6uWbmQN5gGxxw== Content-Class: urn:content-classes:message X-Mimeole: Produced By Microsoft MimeOLE V6.00.2462.0000 X-Originalarrivaltime: 22 Aug 2002 12:18:18.0699 (UTC) FILETIME=[FFB949B0:01C249D5] Subject: [ILUG] Guaranteed to lose 10-12 lbs in 30 days 10.206 Sender: ilug-admin@linux.ie Errors-To: ilug-admin@linux.ie X-Mailman-Version: 1.1 Precedence: bulk List-Id: Irish Linux Users' Group  X-Beenthere: ilug@linux.ie  1) Fight The Risk of Cancer! http://www.adclick.ws/p.cfm?o=315&s=pk007  2) Slim Down - Guaranteed to lose 10-12 lbs in 30 days http://www.adclick.ws/p.cfm?o=249&s=pk007  3) Get the Child Support You Deserve - Free Legal Advice http://www.adclick.ws/p.cfm?o=245&s=pk002  4) Join the Web's Fastest Growing Singles Community http://www.adclick.ws/p.cfm?o=259&s=pk007  5) Start Your Private Photo Album Online! http://www.adclick.ws/p.cfm?o=283&s=pk007  Have a Wonderful Day  Offer Manager PrizeMama              If you wish to leave this list please use the link below. http://www.qves.com/trim/?ilug@linux.ie%7C17%7C114258   --  Irish Linux Users' Group: ilug@linux.ie http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information. List maintainer: listmaster@linux.ie",1
"Date: Thu  22 Aug 2002 07:36:19 -0600 Message-ID:  MIME-Version: 1.0 Content-Type: text/plain; 	charset=""iso-8859-1"" Content-Transfer-Encoding: 7bit X-Mailer: Microsoft CDO for Windows 2000 Thread-Index: AcJJ4OWpowGq7rdNSwCz5HE3x9ZZDQ== Content-Class: urn:content-classes:message X-MimeOLE: Produced By Microsoft MimeOLE V6.00.2462.0000 X-OriginalArrivalTime: 22 Aug 2002 13:36:20.0969 (UTC) FILETIME=[E692FD90:01C249E0]  1) Fight The Risk of Cancer! http://www.adclick.ws/p.cfm?o=315&s=pk007  2) Slim Down - Guaranteed to lose 10-12 lbs in 30 days http://www.adclick.ws/p.cfm?o=249&s=pk007  3) Get the Child Support You Deserve - Free Legal Advice http://www.adclick.ws/p.cfm?o=245&s=pk002  4) Join the Web's Fastest Growing Singles Community http://www.adclick.ws/p.cfm?o=259&s=pk007  5) Start Your Private Photo Album Online! http://www.adclick.ws/p.cfm?o=283&s=pk007  Have a Wonderful Day  Offer Manager PrizeMama              If you wish to leave this list please use the link below. http://www.qves.com/trim/?zzzz@example.com%7C17%7C308417",1
Date: Thu  22 Aug 2002 08:13:35 -0700 X-Mailer: Microsoft Outlook Express 5.00.2615.200 X-Priority: 1 Message-Id:   ################################################## #                                                # #                 Adult Club                     # #           Offers FREE Membership               # #                                                # ##################################################  >>>>>  INSTANT ACCESS TO ALL SITES NOW >>>>>  Your User Name And Password is. >>>>>  User Name: zzzz@example.com >>>>>  Password: 760382  5 of the Best Adult Sites on the Internet for FREE! --------------------------------------- NEWS 08/18/02 With just over 2.9 Million Members that signed up for FREE  Last month there were 721 184 New Members. Are you one of them yet??? --------------------------------------- Our Membership FAQ  Q. Why are you offering free access to 5 adult membership sites for free? A. I have advertisers that pay me for ad space so you don't have to pay for membership.  Q. Is it true my membership is for life? A. Absolutely you'll never have to pay a cent the advertisers do.  Q. Can I give my account to my friends and family? A. Yes  as long they are over the age of 18.  Q. Do I have to sign up for all 5 membership sites? A. No just one to get access to all of them.  Q. How do I get started? A. Click on one of the following links below to become a member.  - These are multi million dollar operations with policies and rules. - Fill in the required info and they won't charge you for the Free pass! - If you don't believe us  just read their terms and conditions.  ---------------------------  # 5. > Adults Farm http://80.71.66.8/farm/?aid=760382 Girls and Animals Getting Freaky....FREE Lifetime Membership!!  # 4. > Sexy Celebes http://80.71.66.8/celebst/?aid=760382 Thousands Of XXX Celebes doing it...FREE Lifetime Membership!!  # 3. > Play House Porn http://80.71.66.8/mega/?aid=760382 Live Feeds From 60 Sites And Web Cams...FREE Lifetime Membership!!  # 2. > Asian Sex Fantasies http://80.71.66.8/asian/?aid=760382 Japanese Schoolgirls  Live Sex Shows ...FREE Lifetime Membership!!  # 1. > Lesbian Lace http://80.71.66.8/lesbian/?aid=760382 Girls and Girls Getting Freaky! ...FREE Lifetime Membership!!  --------------------------  Jennifer Simpson  Miami  FL Your FREE lifetime membership has entertained my boyffriend and I for the last two years!  Your Adult Sites are the best on the net!  Joe Morgan Manhattan  NY Your live sex shows and live sex cams are unbelievable. The best part about your porn sites  is that they're absolutely FREE!  --------------------------          Removal Instructions:  You have received this advertisement because you have opted in to receive free adult internet offers and specials through our affiliated websites. If you do not wish to receive further emails or have received the email in error you may opt-out of our database here http://80.71.66.8/optout/ . Please allow 24 hours for removal.  vonolmosatkirekpups,1
"Date: Thu  22 Aug 2002 09:33:07 -0600 Message-Id:  MIME-Version: 1.0 Content-Type: text/plain; charset=""iso-8859-1"" Content-Transfer-Encoding: 7bit X-Mailer: Microsoft CDO for Windows 2000 Thread-Index: AcJJ8TbZoOKEj0AtTsKxJ7ZmOA0e/w== Content-Class: urn:content-classes:message X-Mimeole: Produced By Microsoft MimeOLE V6.00.2462.0000 X-Originalarrivaltime: 22 Aug 2002 15:33:08.0313 (UTC) FILETIME=[3746D490:01C249F1] Subject: [ILUG-Social] re: Guaranteed to lose 10-12 lbs in 30 days 10.148 Sender: social-admin@linux.ie Errors-To: social-admin@linux.ie X-Mailman-Version: 1.1 Precedence: bulk List-Id: Irish Linux Users' Group social events  X-Beenthere: social@linux.ie  I thought you might like these: 1) Slim Down - Guaranteed to lose 10-12 lbs in 30 days http://www.freeyankee.com/cgi/fy2/to.cgi?l=822slim1  2) Fight The Risk of Cancer!  http://www.freeyankee.com/cgi/fy2/to.cgi?l=822nic1   3) Get the Child Support You Deserve - Free Legal Advice  http://www.freeyankee.com/cgi/fy2/to.cgi?l=822ppl1  Offer Manager Daily-Deals         If you wish to leave this list please use the link below. http://www.qves.com/trim/?social@linux.ie%7C29%7C134077   --  Irish Linux Users' Group Social Events: social@linux.ie http://www.linux.ie/mailman/listinfo/social for (un)subscription information. List maintainer: listmaster@linux.ie",1
"Date: Thu  22 Aug 2002 10:42:19 -0500 MIME-Version: 1.0 Content-type: text/plain; charset=US-ASCII X-MIME-Autoconverted: from quoted-printable to 8bit by webnote.net id QAA05573 Content-Transfer-Encoding: 8bit  A POWERHOUSE GIFTING PROGRAM You Don't Want To Miss!      GET IN WITH THE FOUNDERS!  The MAJOR PLAYERS are on This ONE For ONCE be where the PlayerS are This is YOUR Private Invitation  EXPERTS ARE CALLING THIS THE FASTEST WAY  TO HUGE CASH FLOW EVER CONCEIVED Leverage $1 000 into $50 000 Over and Over Again  THE QUESTION HERE IS: YOU EITHER WANT TO BE WEALTHY  OR YOU DON'T!!! WHICH ONE ARE YOU? I am tossing you a financial lifeline and for your sake I  Hope you GRAB onto it and hold on tight For the Ride of youR life!  Testimonials  Hear what average people are doing their first few days: We've received 8 000 in 1 day and we are doing that over and over again!' Q.S. in AL  I'm a single mother in FL and I've received 12 000 in the last 4 days. D. S. in FL I was not sure about this when I sent off my $1 000 pledge  but I got back $2 000 the very next day! L.L. in KY I didn't have the money  so I found myself a partner to work this with. We have received $4 000 over the last 2 days.  I think I made the right decision; don't you? K. C. in FL I pick up $3 000 my first day and I  they gave me free leads and all the training  you can too! J.W. in CA  ANNOUNCING: We will CLOSE your sales for YOU! And Help you get a Fax Blast IMMEDIATELY Upon Your Entry!!!    YOU Make the MONEY!!! FREE LEADS!!! TRAINING!!!  $$DON'T WAIT!!! CALL NOW $$ FAX BACK TO: 1-800-421-6318 OR Call 1-800-896-6568   Name__________________________________Phone___________________________________________  Fax_____________________________________Email____________________________________________  Best Time To Call_________________________Time Zone________________________________________  This message is sent in compliance of the new e-mail bill. ""Per Section 301  Paragraph (a)(2)(C) of S. 1618  further transmissions by the sender of this email may be stopped  at no cost to you  by sending a reply to this email address with the word ""REMOVE"" in the subject line. Errors  omissions  and exceptions excluded.   This is NOT spam! I have compiled this list from our Replicate Database  relative to Seattle Marketing Group  The Gigt  or Turbo Team for the sole purpose of these communications. Your continued inclusion is ONLY by your gracious permission. If you wish to not receive this mail from me  please send an email to tesrewinter@yahoo.com with ""Remove"" in the subject and you will be deleted immediately.",1
Date: Thu  22 Aug 2002 13:24:37 -0400 (EDT) Content-Transfer-Encoding: 8bit  Help wanted.  We are a 14 year old fortune 500 company  that is growing at a tremendous rate.  We are looking for individuals who want to work from home.  This is an opportunity to make an excellent income.  No experience is required.  We will train you.  So if you are looking to be employed from home with a career that has vast opportunities  then go:  http://www.basetel.com/wealthnow  We are looking for energetic and self motivated people.  If that is you than click on the link and fill out the form  and one of our employement specialist will contact you.  To be removed from our link simple go to:  http://www.basetel.com/remove.html   4139vOLW7-758DoDY1425FRhM1-764SMFc8513fCsLl40,1
"Date: Thu  22 Aug 2002 10:30:04 -0500 From: Great Offers  To: JM@NETNOTEINC.COM Subject: Is Your Family Protected? X-Info: 134085 X-Info2: SGO Mime-Version: 1.0 Content-Type: text/html; charset=""us-ascii""    ReliaQuote - Save Up To 70% On Life Insurance                                                                 &nbsp;                                                                                                                                                                                                                                                                                               Life                                 can change in an instant. That's why it is so                                 important to protect your family's financial future                                 with sufficient life insurance coverage.                                                                                                                                                                                                                                                                                                                                                                                                                                                 State                           of Residence:                                                                                                            Select State                             Alabama                             Alaska                             Arizona                             Arkansas                             California                             Colorado                             Connecticut                             Delaware                             Dist. of Columbia                             Florida                             Georgia                             Hawaii                             Idaho                             Illinois                             Indiana                             Iowa                             Kansas                             Kentucky                             Louisiana                             Maine                             Maryland                             Massachusetts                             Michigan                             Minnesota                             Mississippi                             Missouri                             Montana                             Nebraska                             Nevada                             New Hampshire                             New Jersey                             New Mexico                             New York                             North Carolina                             North Dakota                             Ohio                             Oklahoma                             Oregon                             Pennsylvania                             Rhode Island                             South Carolina                             South Dakota                             Tennessee                             Texas                             Utah                             Vermont                             Virginia                             Washington                             West Virginia                             Wisconsin                             Wyoming                                                                                                                             Date                           of Birth (MM/DD/YY):                                                                                  MM                             01                             02                             03                             04                             05                             06                             07                             08                             09                             10                             11                             12                                                      /                                                        DD                             01                             02                             03                             04                             05                             06                             07                             08                             09                             10                             11                             12                             13                             14                             15                             16                             17                             18                             19                             20                             21                             22                             23                             24                             25                             26                             27                             28                             29                             30                             31                                                      /                                                        YY                             13                             14                             15                             16                             17                             18                             19                             20                             21                             22                             23                             24                             25                             26                             27                             28                             29                             30                             31                             32                             33                             34                             35                             36                             37                             38                             39                             40                             41                             42                             43                             44                             45                             46                             47                             48                             49                             50                             51                             52                             53                             54                             55                             56                             57                             58                             59                             60                             61                             62                             63                             64                             65                             66                             67                             68                             69                             70                             71                             72                             73                             74                             75                             76                             77                             78                             79                             80                             81                             82                             83                                           84                                                                                                                             Sex:                                                                                                                                                                                                                Male                                                                                                  Female                                                                                                                                                                                     Have                           you used any tobacco products in the last 12 months?                                                                                                                                                                                                                No                                                                                                  Yes                                                                                                                                                                                     Coverage                           Amount:                                                                                                            Select Amount                             100 000                             125 000                             150 000                             175 000                             200 000                             225 000                             250 000                             275 000                             300 000                             325 000                             350 000                             375 000                             400 000                             425 000                             450 000                             475 000                             500 000                             550 000                             600 000                             650 000                             700 000                             750 000                             800 000                             850 000                             900 000                             950 000                             1 000 000                             1 250 000                             1 500 000                             1 750 000                             2 000 000                             2 250 000                             2 500 000                             3 000 000                             3 500 000                             4 000 000                             4 500 000                             5 000 000                             6 000 000                             7 000 000                             8 000 000                             9 000 000                             10 000 000                             11 000 000                             12 000 000                             13 000 000                             14 000 000                             15 000 000                                                                                                                             How                           long do you need the coverage?                                                                                                            Select Year                             5 Years                             10 Years                             15 Years                             20 Years                             25 Years                             30 Years                                                                                                                             &nbsp;                                                                                                                                                                                                                                                                                                                                                                                           ReliaQuote                     makes it easy and affordable. We can instantly provide you                     with free quotes from highly rated insurance companies.                                                                                                                                                          Save                         up to                                                                                                                                  on                         Life Insurance                                                                                                                           Compare quotes today.                                      There is nothing more                    important than protecting                    their future.                                                                                 Copyright 2001 ReliaQuote          Inc.         All rights reserved.             You are receiving this mailing because you are a member of SendGreatOffers.com and subscribed as:JM@NETNOTEINC.COM To unsubscribe  Click Here (http://admanmail.com/subscription.asp?em=JM@NETNOTEINC.COM&l=SGO) or reply to this email with REMOVE in the subject line - you must also include the body of this message to be unsubscribed. Any correspondence about the products/services should be directed to the company in the ad. %EM%JM@NETNOTEINC.COM%/EM%   ",1
"Date: Thu  22 Aug 2002 12:16:46 -0500 MIME-Version: 1.0 Content-type: text/plain; charset=US-ASCII X-MIME-Autoconverted: from quoted-printable to 8bit by webnote.net id SAA05992 Content-Transfer-Encoding: 8bit  TIRED OF THE BULL OUT THERE? Want To Stop Losing Money?  WANT A REAL MONEY MAKER? RECEIVE $1 000-$5 000 TODAY! EXPERTS ARE CALLING THIS THE FASTEST WAY TO HUGE CASH FLOW EVER CONCEIVED!  A POWERHOUSE Gifting Program You Don't Want To Miss! We work as a TEAM!   This is YOUR Private Invitation GET IN WITH THE FOUNDERS! This is where the BIG BOYS PLAY! The MAJOR PLAYERS are on This ONE For ONCE be where the Players are  This is a system that will drive $1 000's to your doorstep  In a short period of time!  Leverage $1000.00 into $50 000  Over and Over Again   THE QUESTION HERE IS:  YOU EITHER WANT TO BE WEALTHY OR YOU DON'T!!!  WHICH ONE ARE YOU?  I am tossing you a financial lifeline and for your sake I   Hope you GRAB onto it and hold on tight For the Ride of your life!  Testimonials  Hear what average people are doing their first few days: We've received 8 000 in 1 day and we are doing that over and over again!' Q.S. in AL  I'm a single mother in FL and I've received 12 000 in the last 4 days. D. S. in FL I was not sure about this when I sent off my $1 000 pledge  but I got back $2 000 the very next day! L.L. in KY I didn't have the money  so I found myself a partner to work this with. We have received $4 000 over the last 2 days. I think I made the right decision; don't you? K. C. in FL I pick up $3 000 my first day and I they gave me free leads and all the training  you can too! J.W. in CA  This WILL be the Most IMPORTANT Call you make this Year!   FREE LEADS!!!!!!! TRAINING!!!!!!!  ANNOUNCING: We will CLOSE your sales for YOU! And Help you get a Fax Blast IMMEDIATELY Upon Your Entry!!!    YOU Make the MONEY!!! FREE LEADS!!!!!!! TRAINING!!!!!!!  $$DON'T WAIT!!! CALL NOW $$ 1-800-896-6568 Print and Fax to 1-800-421-6318 or send an email  requesting more information to successleads@firemail.de Please include your name and telephone number.   *Receive 10 000 FREE LEADS just for responding! (a $499.99 value)  Name___________________________________ Phone___________________________________ Fax_____________________________________ Email___________________________________    This message is sent in compliance of the new e-mail bill. ""Per Section 301  Paragraph (a)(2)(C) of S. 1618  further transmissions by the sender of this email may be stopped  at no cost to you  by sending a reply to this email address with the word ""REMOVE"" in the subject line. Errors  omissions  and exceptions excluded.  This is NOT spam! I have compiled this list from our Replicate Database  relative to Seattle Marketing Group  The Gigt  or Turbo Team for the sole purpose of these communications. Your continued inclusion is ONLY by your gracious permission. If you wish to not receive this mail from me  please send an email to  tesrewinter@yahoo.com with ""Remove"" in the subject and you will be deleted immediately.",1
"Date: Thu  22 Aug 2002 13:18:16 -0500 Subject: MULTIPLY YOUR CUSTOMER BASE! MIME-Version: 1.0 X-Mailer: Microsoft Outlook Express 6.00.2600.0000 X-MimeOLE: Produced By Microsoft MimeOLE V6.00.2600.0000 X-Precedence-Ref: l2340567 Content-Transfer-Encoding: 7bit Content-Type: text/html; charset=us-ascii  Dear ricardo1       COST EFFECTIVE Direct Email Advertising Promote Your Business For As Low As  $50 Per  1 Million  Email Addresses MAXIMIZE YOUR MARKETING DOLLARS! Complete and fax this information form to 309-407-7378. A Consultant will contact you to discuss your marketing needs.   NAME:___________________________________________________________________ COMPANY:_______________________________________________________________ ADDRESS:________________________________________________________________ CITY:_____________________________________________________________________ STATE:___________________________________________________________________ PHONE:___________________________________________________________________ E-MAIL:__________________________________________________________________ WEBSITE: (Not Required)_______________________________________________________ ___________________________________________________________________________ ___________________________________________________________________________ *COMMENTS: (Provide details  pricing  etc. on the products and services you wish to market) ___________________________________________________________________________ ___________________________________________________________________________ ___________________________________________________________________________ ___________________________________________________________________________        [247(^(PO1:KJ)_8J7BJK9^"":}H&*TG0BK5NKIYs5]",1
